id,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,gene,cell
"C4orf21_T cell, CD4, TH17",Wald_ratio,1,0.226779006,0.115248347,NA,NA,0.049097738,NA,NA,NA,NA,NA,NA,NA,0.000892245,0.452665767,1.254552589,1.000892643,1.572498518,0.895741748,Bladder cancer,finn-b-C3_BLADDER,C4orf21,"T cell, CD4, TH17"
"MTX3_B cell, naive",Wald_ratio,1,0.119449844,0.060823311,NA,NA,0.049543706,NA,NA,NA,NA,NA,NA,NA,0.000236154,0.238663535,1.126876723,1.000236182,1.269551305,0.895741748,Bladder cancer,finn-b-C3_BLADDER,MTX3,"B cell, naive"
"CKMT2-AS1_T cell, CD4, TH17",Wald_ratio,1,0.094274432,0.04558856,NA,NA,0.038645614,NA,NA,NA,NA,NA,NA,NA,0.004920854,0.183628009,1.098861267,1.004932982,1.201568767,0.822772259,Bladder cancer,finn-b-C3_BLADDER,CKMT2-AS1,"T cell, CD4, TH17"
"ZC2HC1A_Monocyte, classical",Wald_ratio,1,-0.083423618,0.042455881,NA,NA,0.049420204,NA,NA,NA,NA,NA,NA,NA,-0.166637144,-0.000210091,0.919961353,0.846506715,0.999789931,0.895741748,Bladder cancer,finn-b-C3_BLADDER,ZC2HC1A,"Monocyte, classical"
"ATP6V1A_T cell, CD4, naive activated",Wald_ratio,1,0.103618773,0.049621879,NA,NA,0.036782768,NA,NA,NA,NA,NA,NA,NA,0.00635989,0.200877656,1.109177526,1.006380157,1.222475201,0.808580036,Bladder cancer,finn-b-C3_BLADDER,ATP6V1A,"T cell, CD4, naive activated"
"MTHFR_T cell, CD4, memory TREG",Wald_ratio,1,-0.175744021,0.060706933,NA,NA,0.003792093,NA,NA,NA,NA,NA,NA,NA,-0.29472961,-0.056758432,0.83883268,0.744732929,0.944822281,0.488903877,Bladder cancer,finn-b-C3_BLADDER,MTHFR,"T cell, CD4, memory TREG"
"MTHFR_T cell, CD4, naive TREG",Wald_ratio,1,-0.170947841,0.059050198,NA,NA,0.003792093,NA,NA,NA,NA,NA,NA,NA,-0.286686229,-0.055209454,0.842865535,0.750747255,0.946286924,0.488903877,Bladder cancer,finn-b-C3_BLADDER,MTHFR,"T cell, CD4, naive TREG"
"TRGV4_T cell, CD8, naive activated",Wald_ratio,1,-0.088141411,0.03817753,NA,NA,0.020958855,NA,NA,NA,NA,NA,NA,NA,-0.16296937,-0.013313453,0.915631387,0.849617212,0.986774779,0.740809055,Bladder cancer,finn-b-C3_BLADDER,TRGV4,"T cell, CD8, naive activated"
"TRGV5_Monocyte, classical",Wald_ratio,1,-0.081748746,0.035408614,NA,NA,0.020958855,NA,NA,NA,NA,NA,NA,NA,-0.151149629,-0.012347863,0.921503461,0.85971905,0.987728059,0.740809055,Bladder cancer,finn-b-C3_BLADDER,TRGV5,"Monocyte, classical"
"TRGV3_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.087712247,0.037991642,NA,NA,0.020958855,NA,NA,NA,NA,NA,NA,NA,-0.162175865,-0.013248629,0.916024428,0.850291655,0.986838748,0.740809055,Bladder cancer,finn-b-C3_BLADDER,TRGV3,"T cell, CD4, TH1 TH17"
"TRGV4_T cell, CD4, naive",Wald_ratio,1,-0.077464586,0.033552975,NA,NA,0.020958855,NA,NA,NA,NA,NA,NA,NA,-0.143228417,-0.011700755,0.925459798,0.866556111,0.988367432,0.740809055,Bladder cancer,finn-b-C3_BLADDER,TRGV4,"T cell, CD4, naive"
"TRGV3_T cell, CD4, TH1",Wald_ratio,1,-0.095108415,0.041195215,NA,NA,0.020958855,NA,NA,NA,NA,NA,NA,NA,-0.175851036,-0.014365794,0.90927435,0.838742917,0.985736901,0.740809055,Bladder cancer,finn-b-C3_BLADDER,TRGV3,"T cell, CD4, TH1"
"TRGV3_T cell, CD4, TH2",Wald_ratio,1,-0.083196478,0.036035684,NA,NA,0.020958855,NA,NA,NA,NA,NA,NA,NA,-0.153826418,-0.012566538,0.920170336,0.857420841,0.987512091,0.740809055,Bladder cancer,finn-b-C3_BLADDER,TRGV3,"T cell, CD4, TH2"
"CCDC146_T cell, CD4, TH1",Wald_ratio,1,-0.121659261,0.058205607,NA,NA,0.036603076,NA,NA,NA,NA,NA,NA,NA,-0.235742252,-0.007576271,0.885450024,0.789984265,0.992452357,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CCDC146,"T cell, CD4, TH1"
"CCDC146_T cell, CD4, naive activated",Wald_ratio,1,-0.14317895,0.068501302,NA,NA,0.036603076,NA,NA,NA,NA,NA,NA,NA,-0.277441502,-0.008916399,0.866598977,0.757719889,0.991123234,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CCDC146,"T cell, CD4, naive activated"
"CCDC146_NK cell, CD56dim CD16+",Wald_ratio,1,-0.134388382,0.064295618,NA,NA,0.036603076,NA,NA,NA,NA,NA,NA,NA,-0.260407793,-0.008368971,0.874250456,0.770737221,0.991665952,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CCDC146,"NK cell, CD56dim CD16+"
"CCDC146_T cell, CD4, TH17",Wald_ratio,1,-0.129837311,0.062118243,NA,NA,0.036603076,NA,NA,NA,NA,NA,NA,NA,-0.251589068,-0.008085555,0.878238299,0.777564198,0.991947045,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CCDC146,"T cell, CD4, TH17"
"CCDC146_T cell, CD4, TH2",Wald_ratio,1,-0.123691496,0.059177892,NA,NA,0.036603076,NA,NA,NA,NA,NA,NA,NA,-0.239680165,-0.007702827,0.883652409,0.786879492,0.992326763,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CCDC146,"T cell, CD4, TH2"
"LMTK2_T cell, CD4, naive activated",Wald_ratio,1,-0.275620309,0.085483322,NA,NA,0.001262994,NA,NA,NA,NA,NA,NA,NA,-0.44316762,-0.108072998,0.7591011,0.641999586,0.897562074,0.366711887,Bladder cancer,finn-b-C3_BLADDER,LMTK2,"T cell, CD4, naive activated"
"DNMT3B_T cell, CD4, naive TREG",Wald_ratio,1,-0.110127566,0.046189426,NA,NA,0.017113541,NA,NA,NA,NA,NA,NA,NA,-0.200658841,-0.019596292,0.895719864,0.818191517,0.980594468,0.697598914,Bladder cancer,finn-b-C3_BLADDER,DNMT3B,"T cell, CD4, naive TREG"
"BNC2_NK cell, CD56dim CD16+",Wald_ratio,1,-0.130525348,0.050007954,NA,NA,0.009051794,NA,NA,NA,NA,NA,NA,NA,-0.228540937,-0.032509758,0.877634247,0.795693723,0.968013004,0.505515694,Bladder cancer,finn-b-C3_BLADDER,BNC2,"NK cell, CD56dim CD16+"
"FAM118A_T cell, CD4, TH17",Wald_ratio,1,-0.11919485,0.044756959,NA,NA,0.007741108,NA,NA,NA,NA,NA,NA,NA,-0.20691849,-0.031471209,0.887634829,0.813085922,0.969018855,0.488903877,Bladder cancer,finn-b-C3_BLADDER,FAM118A,"T cell, CD4, TH17"
"FAM118A_T cell, CD4, naive TREG",Wald_ratio,1,-0.12004639,0.045076708,NA,NA,0.007741108,NA,NA,NA,NA,NA,NA,NA,-0.208396737,-0.031696043,0.886879294,0.811884868,0.968801011,0.488903877,Bladder cancer,finn-b-C3_BLADDER,FAM118A,"T cell, CD4, naive TREG"
"FAM118A_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.120183852,0.045128324,NA,NA,0.007741108,NA,NA,NA,NA,NA,NA,NA,-0.208635366,-0.031732337,0.88675739,0.811691152,0.96876585,0.488903877,Bladder cancer,finn-b-C3_BLADDER,FAM118A,"T cell, CD4, TH1 TH17"
"FAM118A_T cell, CD4, TH1",Wald_ratio,1,-0.121723473,0.045706443,NA,NA,0.007741108,NA,NA,NA,NA,NA,NA,NA,-0.211308101,-0.032138846,0.88539317,0.809524613,0.968372118,0.488903877,Bladder cancer,finn-b-C3_BLADDER,FAM118A,"T cell, CD4, TH1"
