id,gene,cell,nsnp,b,se,CIlower,Ciupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4(PWCOCO),ldcheck,H4 (conventional coloc)
"CASP8_T cell, CD4, TH17",CASP8,"T cell, CD4, TH17",1,-0.069000496,0.016150961,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.10065638,-0.037344612,0.933326217,0.904243696,0.963344099,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, TH17_Breast cancer_ieu-a-1131",0.33355513,0.991516071,1
"CASP8_T cell, CD4, TH1 TH17",CASP8,"T cell, CD4, TH1 TH17",1,-0.069893001,0.01635987,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.101958347,-0.037827656,0.93249359,0.903067166,0.962878873,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, TH1 TH17_Breast cancer_ieu-a-1131",0.275868146,0.991516071,1
"CASP8_T cell, CD4, memory TREG",CASP8,"T cell, CD4, memory TREG",1,-0.066698178,0.015612057,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.097297811,-0.036098546,0.935477506,0.907285766,0.964545237,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, memory TREG_Breast cancer_ieu-a-1131",0.220690722,0.991516071,1
"CASP8_Monocyte, classical",CASP8,"Monocyte, classical",1,-0.066247393,0.015506542,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.096640215,-0.035854571,0.935899301,0.90788259,0.964780591,0.009465775,Breast cancer,ieu-a-1131,"CASP8_Monocyte, classical_Breast cancer_ieu-a-1131",0.332798903,0.991516071,1
"CASP8_T cell, CD4, naive TREG",CASP8,"T cell, CD4, naive TREG",1,-0.071051411,0.016631019,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.103648209,-0.038454613,0.931414006,0.901542396,0.962275379,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, naive TREG_Breast cancer_ieu-a-1131",0.220696826,0.991516071,1
"CASP8_B cell, naive",CASP8,"B cell, naive",1,-0.0959634,0.022462174,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.139989262,-0.051937538,0.908497266,0.869367571,0.949388165,0.009465775,Breast cancer,ieu-a-1131,"CASP8_B cell, naive_Breast cancer_ieu-a-1131",0.328399472,0.991516071,0.328399
"CASP8_T cell, CD4, TFH",CASP8,"T cell, CD4, TFH",1,-0.067010621,0.015685191,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.097753595,-0.036267647,0.935185269,0.906872335,0.964382145,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, TFH_Breast cancer_ieu-a-1131",0.221255496,0.991516071,1
"CASP8_T cell, CD4, TH2",CASP8,"T cell, CD4, TH2",1,-0.071783696,0.016802426,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.104716451,-0.038850942,0.930732195,0.900579845,0.961894076,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, TH2_Breast cancer_ieu-a-1131",0.333564991,0.991516071,1
"CASP8_T cell, CD4, naive",CASP8,"T cell, CD4, naive",1,-0.069238239,0.01620661,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.101003194,-0.037473283,0.933104352,0.903930146,0.963220151,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, naive_Breast cancer_ieu-a-1131",0.240297034,0.991516071,1
"CASP8_Monocyte, non-classical",CASP8,"Monocyte, non-classical",1,-0.066169844,0.015775592,NA,NA,2.74E-05,NA,NA,NA,NA,NA,NA,NA,-0.097090004,-0.035249684,0.935971882,0.907474326,0.96536435,0.012542718,Breast cancer,ieu-a-1131,"CASP8_Monocyte, non-classical_Breast cancer_ieu-a-1131",0.281919344,1,1
"CASP8_NK cell, CD56dim CD16+",CASP8,"NK cell, CD56dim CD16+",1,-0.070266789,0.016752347,NA,NA,2.74E-05,NA,NA,NA,NA,NA,NA,NA,-0.10310139,-0.037432189,0.9321451,0.902035512,0.963259735,0.012542718,Breast cancer,ieu-a-1131,"CASP8_NK cell, CD56dim CD16+_Breast cancer_ieu-a-1131",0.221271322,1,1
"CASP8_T cell, CD4, TH1",CASP8,"T cell, CD4, TH1",1,-0.071195882,0.016643193,NA,NA,1.89E-05,NA,NA,NA,NA,NA,NA,NA,-0.10381654,-0.038575223,0.931279454,0.901390651,0.962159325,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, TH1_Breast cancer_ieu-a-1131",0.220674307,1,1
